"Material","Energy_MeV","CrossSection_cm2_g","Attenuation_cm_1","EnergyAttenuation_cm_1"
"Muscle_J","0,4","0,10493762046098709","0,1110834851861","0,03406838700175285"
"Muscle_J","0,5","0,09614450484514236","0,11019215732812881","0,03411838412284851"
"Muscle_J","0,6","0,08911426365375519","0,09468179941177368","0,034196220338344574"
"Muscle_J","0,8","0,07838349789381027","0,08269268274307251","0,033417489379644394"
"Muscle_J","1","0,07044092565774918","0,0818357765674591","0,03335642069578171"
"SpineBone_J","0,001","0,015504430048167706","39468,78125","39404,03515625"
"SpineBone_J","0,0015","0,027119919657707214","6915,99609375","6903,62109375"
"SpineBone_J","0,002","0,038614414632320404","777,4459838867188","774,5977172851562"
"SpineBone_J","0,003","0,059623073786497116","439,6802062988281","432,2358093261719"
"SpineBone_J","0,004","0,07746906578540802","158,62445068359375","155,47882080078125"
"SpineBone_J","0,005","0,09237395972013474","316,0950927734375","288,485107421875"
"SpineBone_J","0,006","0,10479247570037842","123,544189453125","114,7432861328125"
"SpineBone_J","0,008","0,12377781420946121","53,98971939086914","50,591068267822266"
"SpineBone_J","0,01","0,13701927661895752","26,409465789794922","24,756591796875"
"SpineBone_J","0,015","0,15494577586650848","11,035820007324219","10,188714027404785"
"SpineBone_J","0,02","0,163652703166008","3,8751821517944336","3,388092517852783"
"SpineBone_J","0,03","0,17172732949256897","1,7364845275878906","1,3688764572143555"
"SpineBone_J","0,04","0,17314566671848297","0,7362756133079529","0,44011151790618896"
"SpineBone_J","0,05","0,1715313345193863","0,7001255750656128","0,40718066692352295"
"SpineBone_J","0,06","0,1685442179441452","0,40079331398010254","0,1506289690732956"
"SpineBone_J","0,08","0,16131830215454102","0,29863905906677246","0,07689572870731354"
"SpineBone_J","0,1","0,15414740145206451","0,25360172986984253","0,052862755954265594"
"SpineBone_J","0,15","0,1391868144273758","0,21717026829719543","0,04409101605415344"
"SpineBone_J","0,2","0,12795647978782654","0,1893327534198761","0,04229268431663513"
"SpineBone_J","0,3","0,11208663135766983","0,16648568212985992","0,04358308017253876"
"SpineBone_J","0,4","0,10099799931049347","0,14523962140083313","0,04462836682796478"
"SpineBone_J","0,5","0,09256068617105484","0,14404676854610443","0,04467310011386871"
"SpineBone_J","0,6","0,08580726385116577","0,12355577945709229","0,044607844203710556"
"SpineBone_J","0,8","0,0754893496632576","0,10782378166913986","0,04353000223636627"
"SpineBone_J","1","0,06784695386886597","0,10669980198144913","0,04344615712761879"
"RibBone_J","0,001","0,014369228854775429","61462,87890625","61359,97265625"
"RibBone_J","0,0015","0,025311412289738655","10732,40234375","10712,6875"
"RibBone_J","0,002","0,036163318902254105","1161,0001220703125","1156,5523681640625"
